,date,value
834,1954-07-01,0.80
833,1954-08-01,1.22
832,1954-09-01,1.07
831,1954-10-01,0.85
830,1954-11-01,0.83
829,1954-12-01,1.28
828,1955-01-01,1.39
827,1955-02-01,1.29
826,1955-03-01,1.35
825,1955-04-01,1.43
824,1955-05-01,1.43
823,1955-06-01,1.64
822,1955-07-01,1.68
821,1955-08-01,1.96
820,1955-09-01,2.18
819,1955-10-01,2.24
818,1955-11-01,2.35
817,1955-12-01,2.48
816,1956-01-01,2.45
815,1956-02-01,2.50
814,1956-03-01,2.50
813,1956-04-01,2.62
812,1956-05-01,2.75
811,1956-06-01,2.71
810,1956-07-01,2.75
809,1956-08-01,2.73
808,1956-09-01,2.95
807,1956-10-01,2.96
806,1956-11-01,2.88
805,1956-12-01,2.94
804,1957-01-01,2.84
803,1957-02-01,3.00
802,1957-03-01,2.96
801,1957-04-01,3.00
800,1957-05-01,3.00
799,1957-06-01,3.00
798,1957-07-01,2.99
797,1957-08-01,3.24
796,1957-09-01,3.47
795,1957-10-01,3.50
794,1957-11-01,3.28
793,1957-12-01,2.98
792,1958-01-01,2.72
791,1958-02-01,1.67
790,1958-03-01,1.20
789,1958-04-01,1.26
788,1958-05-01,0.63
787,1958-06-01,0.93
786,1958-07-01,0.68
785,1958-08-01,1.53
784,1958-09-01,1.76
783,1958-10-01,1.80
782,1958-11-01,2.27
781,1958-12-01,2.42
780,1959-01-01,2.48
779,1959-02-01,2.43
778,1959-03-01,2.80
777,1959-04-01,2.96
776,1959-05-01,2.90
775,1959-06-01,3.39
774,1959-07-01,3.47
773,1959-08-01,3.50
772,1959-09-01,3.76
771,1959-10-01,3.98
770,1959-11-01,4.00
769,1959-12-01,3.99
768,1960-01-01,3.99
767,1960-02-01,3.97
766,1960-03-01,3.84
765,1960-04-01,3.92
764,1960-05-01,3.85
763,1960-06-01,3.32
762,1960-07-01,3.23
761,1960-08-01,2.98
760,1960-09-01,2.60
759,1960-10-01,2.47
758,1960-11-01,2.44
757,1960-12-01,1.98
756,1961-01-01,1.45
755,1961-02-01,2.54
754,1961-03-01,2.02
753,1961-04-01,1.49
752,1961-05-01,1.98
751,1961-06-01,1.73
750,1961-07-01,1.17
749,1961-08-01,2.00
748,1961-09-01,1.88
747,1961-10-01,2.26
746,1961-11-01,2.61
745,1961-12-01,2.33
744,1962-01-01,2.15
743,1962-02-01,2.37
742,1962-03-01,2.85
741,1962-04-01,2.78
740,1962-05-01,2.36
739,1962-06-01,2.68
738,1962-07-01,2.71
737,1962-08-01,2.93
736,1962-09-01,2.90
735,1962-10-01,2.90
734,1962-11-01,2.94
733,1962-12-01,2.93
732,1963-01-01,2.92
731,1963-02-01,3.00
730,1963-03-01,2.98
729,1963-04-01,2.90
728,1963-05-01,3.00
727,1963-06-01,2.99
726,1963-07-01,3.02
725,1963-08-01,3.49
724,1963-09-01,3.48
723,1963-10-01,3.50
722,1963-11-01,3.48
721,1963-12-01,3.38
720,1964-01-01,3.48
719,1964-02-01,3.48
718,1964-03-01,3.43
717,1964-04-01,3.47
716,1964-05-01,3.50
715,1964-06-01,3.50
714,1964-07-01,3.42
713,1964-08-01,3.50
712,1964-09-01,3.45
711,1964-10-01,3.36
710,1964-11-01,3.52
709,1964-12-01,3.85
708,1965-01-01,3.90
707,1965-02-01,3.98
706,1965-03-01,4.05
705,1965-04-01,4.09
704,1965-05-01,4.10
703,1965-06-01,4.05
702,1965-07-01,4.09
701,1965-08-01,4.12
700,1965-09-01,4.02
699,1965-10-01,4.08
698,1965-11-01,4.10
697,1965-12-01,4.32
696,1966-01-01,4.42
695,1966-02-01,4.60
694,1966-03-01,4.66
693,1966-04-01,4.67
692,1966-05-01,4.90
691,1966-06-01,5.17
690,1966-07-01,5.30
689,1966-08-01,5.53
688,1966-09-01,5.40
687,1966-10-01,5.53
686,1966-11-01,5.76
685,1966-12-01,5.40
684,1967-01-01,4.94
683,1967-02-01,5.00
682,1967-03-01,4.53
681,1967-04-01,4.05
680,1967-05-01,3.94
679,1967-06-01,3.98
678,1967-07-01,3.79
677,1967-08-01,3.90
676,1967-09-01,3.99
675,1967-10-01,3.88
674,1967-11-01,4.13
673,1967-12-01,4.51
672,1968-01-01,4.61
671,1968-02-01,4.71
670,1968-03-01,5.05
669,1968-04-01,5.76
668,1968-05-01,6.12
667,1968-06-01,6.07
666,1968-07-01,6.03
665,1968-08-01,6.03
664,1968-09-01,5.78
663,1968-10-01,5.91
662,1968-11-01,5.82
661,1968-12-01,6.02
660,1969-01-01,6.30
659,1969-02-01,6.61
658,1969-03-01,6.79
657,1969-04-01,7.41
656,1969-05-01,8.67
655,1969-06-01,8.90
654,1969-07-01,8.61
653,1969-08-01,9.19
652,1969-09-01,9.15
651,1969-10-01,9.00
650,1969-11-01,8.85
649,1969-12-01,8.97
648,1970-01-01,8.98
647,1970-02-01,8.98
646,1970-03-01,7.76
645,1970-04-01,8.10
644,1970-05-01,7.95
643,1970-06-01,7.61
642,1970-07-01,7.21
641,1970-08-01,6.62
640,1970-09-01,6.29
639,1970-10-01,6.20
638,1970-11-01,5.60
637,1970-12-01,4.90
636,1971-01-01,4.14
635,1971-02-01,3.72
634,1971-03-01,3.71
633,1971-04-01,4.16
632,1971-05-01,4.63
631,1971-06-01,4.91
630,1971-07-01,5.31
629,1971-08-01,5.57
628,1971-09-01,5.55
627,1971-10-01,5.20
626,1971-11-01,4.91
625,1971-12-01,4.14
624,1972-01-01,3.51
623,1972-02-01,3.30
622,1972-03-01,3.83
621,1972-04-01,4.17
620,1972-05-01,4.27
619,1972-06-01,4.46
618,1972-07-01,4.55
617,1972-08-01,4.81
616,1972-09-01,4.87
615,1972-10-01,5.05
614,1972-11-01,5.06
613,1972-12-01,5.33
612,1973-01-01,5.94
611,1973-02-01,6.58
610,1973-03-01,7.09
609,1973-04-01,7.12
608,1973-05-01,7.84
607,1973-06-01,8.49
606,1973-07-01,10.40
605,1973-08-01,10.50
604,1973-09-01,10.78
603,1973-10-01,10.01
602,1973-11-01,10.03
601,1973-12-01,9.95
600,1974-01-01,9.65
599,1974-02-01,8.97
598,1974-03-01,9.35
597,1974-04-01,10.51
596,1974-05-01,11.31
595,1974-06-01,11.93
594,1974-07-01,12.92
593,1974-08-01,12.01
592,1974-09-01,11.34
591,1974-10-01,10.06
590,1974-11-01,9.45
589,1974-12-01,8.53
588,1975-01-01,7.13
587,1975-02-01,6.24
586,1975-03-01,5.54
585,1975-04-01,5.49
584,1975-05-01,5.22
583,1975-06-01,5.55
582,1975-07-01,6.10
581,1975-08-01,6.14
580,1975-09-01,6.24
579,1975-10-01,5.82
578,1975-11-01,5.22
577,1975-12-01,5.20
576,1976-01-01,4.87
575,1976-02-01,4.77
574,1976-03-01,4.84
573,1976-04-01,4.82
572,1976-05-01,5.29
571,1976-06-01,5.48
570,1976-07-01,5.31
569,1976-08-01,5.29
568,1976-09-01,5.25
567,1976-10-01,5.02
566,1976-11-01,4.95
565,1976-12-01,4.65
564,1977-01-01,4.61
563,1977-02-01,4.68
562,1977-03-01,4.69
561,1977-04-01,4.73
560,1977-05-01,5.35
559,1977-06-01,5.39
558,1977-07-01,5.42
557,1977-08-01,5.90
556,1977-09-01,6.14
555,1977-10-01,6.47
554,1977-11-01,6.51
553,1977-12-01,6.56
552,1978-01-01,6.70
551,1978-02-01,6.78
550,1978-03-01,6.79
549,1978-04-01,6.89
548,1978-05-01,7.36
547,1978-06-01,7.60
546,1978-07-01,7.81
545,1978-08-01,8.04
544,1978-09-01,8.45
543,1978-10-01,8.96
542,1978-11-01,9.76
541,1978-12-01,10.03
540,1979-01-01,10.07
